SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870267581,12/30/2017 03:17:41 PM,01/02/2018 04:34:16 PM,SR Created,BOS,Bulky Items,Closed,Call,,N,NC,01/02/2018 12:00:00 AM,01/02/2018 04:34:15 PM,Y,N,"4706 N VIA COLINA, 90042",4706,N,COLINA,,90042,34.1002488248,-118.183345964,"(34.1002488248, -118.183345964)",595,D,4,East Los Angeles APC,14,Jose Huizar,42,ARROYO SECO NC,HOLLENBECK
1-870267491,12/30/2017 03:17:23 PM,01/06/2018 08:29:36 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,WLA,01/06/2018 12:00:00 AM,01/06/2018 08:29:36 AM,Y,N,"2042 S CORNING ST, 90034",2042,S,CORNING,ST,90034,34.0396569639,-118.380495661,"(34.0396569639, -118.380495661)",632,J,6,South Los Angeles APC,10,Herb J. Wesson Jr.,61,SOUTH ROBERTSON NC,WEST LOS ANGELES
1-870267311,12/30/2017 03:17:14 PM,01/02/2018 04:06:18 PM,SR Created,BOS,Bulky Items,Closed,Call,,N,NC,01/02/2018 12:00:00 AM,01/02/2018 04:06:18 PM,Y,N,"145 W AVENUE 28, 90031",145,W,AVENUE 28,,90031,34.0796987788,-118.216405476,"(34.0796987788, -118.216405476)",595,A,7,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-870263751,12/30/2017 03:17:10 PM,01/02/2018 01:19:39 PM,SR Created,BOS,Dead Animal Removal,Closed,Call,,N,NC,,01/02/2018 01:19:38 PM,Y,N,"3220 N KENNETH DR, 90032",3220,N,KENNETH,DR,90032,34.0828609248,-118.186536828,"(34.0828609248, -118.186536828)",595,D,6,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK
1-870264243,12/30/2017 03:16:10 PM,01/03/2018 10:03:46 AM,SR Created,OCB,Graffiti Removal,Cancelled,Mobile App,iOS,Y,HBT,01/02/2018 10:02:49 AM,01/03/2018 10:03:45 AM,Y,N,"6737 W WHITLEY TER, 90068",6737,W,WHITLEY,TER,90068,34.1088581927,-118.333800655,"(34.1088581927, -118.333800655)",593,E,3,Central APC,4,David Ryu,29,HOLLYWOOD HILLS WEST NC,HOLLYWOOD
1-870260636,12/30/2017 03:16:00 PM,12/31/2017 11:44:39 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,KYCC,12/31/2017 11:43:29 AM,12/31/2017 11:44:38 AM,Y,N,"1131 S ARAPAHOE ST, 90006",1131,S,ARAPAHOE,ST,90006,34.049847825,-118.285535925,"(34.049847825, -118.285535925)",634,B,4,Central APC,1,Gilbert Cedillo,76,PICO UNION NC,OLYMPIC
1-870266991,12/30/2017 03:15:32 PM,01/04/2018 08:20:55 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,EV,01/04/2018 12:00:00 AM,01/04/2018 08:20:55 AM,Y,N,"11100 W RIVERSIDE DR, 91602",11100,W,RIVERSIDE,DR,91602,34.152133358,-118.372689782,"(34.152133358, -118.372689782)",563,A,4,South Valley APC,4,David Ryu,28,GREATER TOLUCA LAKE NC,NORTH HOLLYWOOD
1-870266881,12/30/2017 03:15:19 PM,01/03/2018 10:41:58 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,HBT,01/02/2018 10:32:46 AM,01/03/2018 10:41:58 AM,Y,N,"5458 W SANTA MONICA BLVD, 90029",5458,W,SANTA MONICA,BLVD,90029,34.0906211682,-118.308160062,"(34.0906211682, -118.308160062)",593,H,5,Central APC,13,Mitch O'Farrell,33,HOLLYWOOD STUDIO DISTRICT NC,HOLLYWOOD
1-870266011,12/30/2017 03:13:00 PM,01/05/2018 12:43:11 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,NC,01/05/2018 12:00:00 AM,01/05/2018 12:43:11 PM,Y,N,"120 N HOBART BLVD, 90004",120,N,HOBART,BLVD,90004,34.0743734545,-118.305413366,"(34.0743734545, -118.305413366)",633,H,1,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-870260711,12/30/2017 03:12:55 PM,01/04/2018 07:59:11 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WV,01/04/2018 12:00:00 AM,01/04/2018 07:59:11 AM,Y,N,"8201 N WHITE OAK AVE, 91335",8201,N,WHITE OAK,AVE,91335,34.2194169815,-118.518768142,"(34.2194169815, -118.518768142)",531,B,2,South Valley APC,12,Mitchell Englander,15,RESEDA NC,WEST VALLEY
1-870258781,12/30/2017 03:11:38 PM,01/04/2018 10:56:47 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,SLA,01/04/2018 12:00:00 AM,01/04/2018 10:53:43 AM,Y,N,"1165 E 21ST ST, 90011",1165,E,21ST,ST,90011,34.0237222048,-118.253702034,"(34.0237222048, -118.253702034)",674,F,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-870258661,12/30/2017 03:10:43 PM,01/03/2018 10:56:55 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,HBT,01/02/2018 10:43:06 AM,01/03/2018 10:56:55 AM,Y,N,"5432 W SANTA MONICA BLVD, 90029",5432,W,SANTA MONICA,BLVD,90029,34.0906231873,-118.307578202,"(34.0906231873, -118.307578202)",593,H,5,Central APC,13,Mitch O'Farrell,33,HOLLYWOOD STUDIO DISTRICT NC,HOLLYWOOD
1-870260136,12/30/2017 03:10:25 PM,01/05/2018 12:57:49 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,EV,01/05/2018 12:00:00 AM,01/05/2018 12:57:48 PM,Y,,"14259 W CALIFA ST, 91401",14259,W,CALIFA,ST,91401,34.1776608401,-118.444137117,"(34.1776608401, -118.444137117)",562,A,1,South Valley APC,4,David Ryu,20,VAN NUYS NC,VAN NUYS
1-870258551,12/30/2017 03:09:40 PM,01/04/2018 10:37:41 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,SLA,01/04/2018 12:00:00 AM,01/04/2018 10:36:21 AM,Y,N,"1165 E 21ST ST, 90011",1165,E,21ST,ST,90011,34.0237222048,-118.253702034,"(34.0237222048, -118.253702034)",674,F,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
