SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870262991,12/30/2017 03:08:09 PM,01/06/2018 07:49:28 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,WV,01/06/2018 12:00:00 AM,01/06/2018 07:48:18 AM,Y,N,"23033 W MOSBY ST, 91364",23033,W,MOSBY,ST,91364,34.1535314171,-118.626750754,"(34.1535314171, -118.626750754)",559,G,4,South Valley APC,3,Bob Blumenfield,16,WOODLAND HILLS-WARNER CENTER NC,TOPANGA
1-870263868,12/30/2017 03:08:02 PM,01/02/2018 10:59:55 PM,SR Created,BOS,Metal/Household Appliances,Closed,Mobile App,iOS,Y,WV,01/02/2018 12:00:00 AM,01/02/2018 10:59:55 PM,Y,,"12436 N BRADFORD PL, 91344",12436,N,BRADFORD,PL,91344,34.2962664035,-118.514723134,"(34.2962664035, -118.514723134)",481,B,6,North Valley APC,12,Mitchell Englander,4,GRANADA HILLS NORTH NC,DEVONSHIRE
1-870264091,12/30/2017 03:08:02 PM,01/06/2018 09:02:41 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,EV,01/06/2018 12:00:00 AM,01/06/2018 09:02:41 AM,Y,N,"14420 W FILMORE ST, 91331",14420,W,FILMORE,ST,91331,34.2532353581,-118.446780063,"(34.2532353581, -118.446780063)",502,A,4,North Valley APC,6,Nury Martinez,6,ARLETA NC,MISSION
1-870263804,12/30/2017 03:07:34 PM,12/31/2017 07:28:04 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NEGB,12/31/2017 07:18:13 AM,12/31/2017 07:28:03 AM,Y,N,"7350 N KESTER AVE, 91405",7350,N,KESTER,AVE,91405,34.203923667,-118.457388028,"(34.203923667, -118.457388028)",531,J,4,South Valley APC,6,Nury Martinez,20,VAN NUYS NC,VAN NUYS
1-870257756,12/30/2017 03:06:57 PM,01/02/2018 06:16:15 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,Y,WV,01/02/2018 12:00:00 AM,01/02/2018 06:16:15 PM,Y,,"11556 N LOUISE AVE, 91344",11556,N,LOUISE,AVE,91344,34.281058575,-118.510779199,"(34.281058575, -118.510779199)",501,B,1,North Valley APC,12,Mitchell Englander,4,GRANADA HILLS NORTH NC,DEVONSHIRE
1-870262821,12/30/2017 03:06:37 PM,01/05/2018 11:54:50 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WV,01/05/2018 12:00:00 AM,01/05/2018 11:54:49 AM,Y,N,"5334 N LINDLEY AVE, 91316",5334,N,LINDLEY,AVE,91316,34.1679362826,-118.527135405,"(34.1679362826, -118.527135405)",561,A,2,South Valley APC,5,Paul Koretz,18,ENCINO NC,WEST VALLEY
1-870258351,12/30/2017 03:06:19 PM,01/02/2018 07:02:55 PM,SR Created,BOS,Bulky Items,Closed,Call,,N,WLA,01/02/2018 12:00:00 AM,01/02/2018 07:02:55 PM,Y,N,"4257 S MOORE ST, 90066",4257,S,MOORE,ST,90066,33.9917821884,-118.43308349,"(33.9917821884, -118.43308349)",672,C,5,West Los Angeles APC,11,Mike Bonin,70,DEL REY NC,PACIFIC
1-870258211,12/30/2017 03:05:42 PM,04/11/2018 12:39:24 PM,SR Created,BOS,Homeless Encampment,Closed,Self Service,,N,WV,01/09/2018 12:00:00 AM,04/11/2018 12:39:23 PM,Y,N,"ROSCOE BLVD AT MASON AVE, 91306",,,,,91306,34.2200548785,-118.579814419,"(34.2200548785, -118.579814419)",530,D,2,North Valley APC,3,Bob Blumenfield,14,WINNETKA NC,TOPANGA
1-870257661,12/30/2017 03:05:09 PM,01/08/2018 09:04:57 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,WV,01/08/2018 12:00:00 AM,01/08/2018 09:04:56 AM,Y,N,"17171 WELBY WY, 91307",17171,,WELBY,WY,91307,34.1938546792,-118.65434714,"(34.1938546792, -118.65434714)",529,D,6,South Valley APC,12,Mitchell Englander,11,WEST HILLS NC,TOPANGA
1-870257541,12/30/2017 03:04:46 PM,12/30/2017 03:11:05 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,LACC,12/30/2017 03:10:36 PM,12/30/2017 03:11:05 PM,Y,N,"2725 W VERNON AVE, 90008",2725,W,VERNON,AVE,90008,34.0037950859,-118.323330836,"(34.0037950859, -118.323330836)",673,G,3,South Los Angeles APC,10,Herb J. Wesson Jr.,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST
1-870256621,12/30/2017 03:04:06 PM,01/03/2018 11:49:13 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,WLA,01/03/2018 12:00:00 AM,01/03/2018 11:49:13 AM,Y,N,"535 E SANTA CLARA AVE, 90291",535,E,SANTA CLARA,AVE,90291,33.9922776067,-118.46704189,"(33.9922776067, -118.46704189)",671,H,5,West Los Angeles APC,11,Mike Bonin,68,VENICE NC,PACIFIC
1-870258051,12/30/2017 03:03:39 PM,01/03/2018 03:05:20 PM,SR Created,OCB,Graffiti Removal,Cancelled,Self Service,,N,HBT,01/02/2018 03:04:50 PM,01/03/2018 03:05:20 PM,Y,N,"1085 N OXFORD AVE, 90029",1085,N,OXFORD,AVE,90029,34.0904214514,-118.307958657,"(34.0904214514, -118.307958657)",593,H,5,Central APC,13,Mitch O'Farrell,33,HOLLYWOOD STUDIO DISTRICT NC,HOLLYWOOD
1-870255731,12/30/2017 03:02:48 PM,01/05/2018 11:29:19 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,WV,01/05/2018 12:00:00 AM,01/05/2018 11:29:19 AM,Y,N,"5334 N LINDLEY AVE, 91316",5334,N,LINDLEY,AVE,91316,34.1679362826,-118.527135405,"(34.1679362826, -118.527135405)",561,A,2,South Valley APC,5,Paul Koretz,18,ENCINO NC,WEST VALLEY
