timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587340428358,11450,Prod_Base Pins,200,OK,Prod Testing Environment 2-2,text,true,,231,384,4,4,https://hackforla-311.herokuapp.com/pins,11450,0,0
1587340439771,285,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-1,text,false,,253,138,4,4,https://hackforla-311.herokuapp.com/apistatus,285,0,209
1587340439808,322,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,391,4,4,https://hackforla-311.herokuapp.com/timetoclose,322,0,208
1587340440130,139,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,396,4,4,https://hackforla-311.herokuapp.com/requestfrequency,139,0,0
1587340440270,141,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,426,4,4,https://hackforla-311.herokuapp.com/requestcounts,141,0,0
1587340440411,72,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-2,text,false,,253,138,4,4,https://hackforla-311.herokuapp.com/apistatus,72,0,0
1587340440484,139,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,371,4,4,https://hackforla-311.herokuapp.com/pins,139,0,0
1587340440623,114,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,378,4,4,https://hackforla-311.herokuapp.com/timetoclose,114,0,0
1587340440737,128,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,383,4,4,https://hackforla-311.herokuapp.com/requestfrequency,128,0,0
1587340440865,126,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,413,4,4,https://hackforla-311.herokuapp.com/requestcounts,126,0,0
1587340440991,74,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-2,text,false,,253,138,4,4,https://hackforla-311.herokuapp.com/apistatus,74,0,0
1587340441065,142,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,394,4,4,https://hackforla-311.herokuapp.com/pins,142,0,0
1587340441207,128,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,401,4,4,https://hackforla-311.herokuapp.com/timetoclose,128,0,0
1587340441335,125,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,406,4,4,https://hackforla-311.herokuapp.com/requestfrequency,125,0,0
1587340441460,150,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,436,4,4,https://hackforla-311.herokuapp.com/requestcounts,150,0,0
1587340441610,73,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-2,text,false,,253,138,4,4,https://hackforla-311.herokuapp.com/apistatus,73,0,0
1587340441684,142,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,419,4,4,https://hackforla-311.herokuapp.com/pins,142,0,0
1587340441826,344,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,426,4,4,https://hackforla-311.herokuapp.com/timetoclose,344,0,214
1587340442171,108,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,431,4,4,https://hackforla-311.herokuapp.com/requestfrequency,108,0,0
1587340442279,118,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,461,4,4,https://hackforla-311.herokuapp.com/requestcounts,118,0,0
1587340442397,70,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-2,text,false,,253,138,4,4,https://hackforla-311.herokuapp.com/apistatus,70,0,0
1587340442467,116,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,450,4,4,https://hackforla-311.herokuapp.com/pins,116,0,0
1587340442583,121,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,457,4,4,https://hackforla-311.herokuapp.com/timetoclose,121,0,0
1587340442705,140,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,462,4,4,https://hackforla-311.herokuapp.com/requestfrequency,140,0,0
1587340442845,117,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,492,4,4,https://hackforla-311.herokuapp.com/requestcounts,117,0,0
1587340442962,73,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-2,text,false,,253,138,4,4,https://hackforla-311.herokuapp.com/apistatus,73,0,0
1587340443035,139,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,463,4,4,https://hackforla-311.herokuapp.com/pins,139,0,0
1587340443174,116,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,470,4,4,https://hackforla-311.herokuapp.com/timetoclose,116,0,0
1587340443291,107,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,475,4,4,https://hackforla-311.herokuapp.com/requestfrequency,107,0,0
1587340443398,131,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-2,text,false,,368,505,4,4,https://hackforla-311.herokuapp.com/requestcounts,131,0,0
1587340434481,11058,Prod_Request counts,200,OK,Prod Testing Environment 2-3,text,true,,231,395,3,3,https://hackforla-311.herokuapp.com/requestcounts,11058,0,210
1587340445538,271,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-3,text,false,,253,138,3,3,https://hackforla-311.herokuapp.com/apistatus,271,0,202
1587340445810,138,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-3,text,false,,368,474,3,3,https://hackforla-311.herokuapp.com/pins,138,0,0
1587340436441,9908,Prod_Request frequency,200,OK,Prod Testing Environment 2-5,text,true,,885,459,3,3,https://hackforla-311.herokuapp.com/requestfrequency,9908,0,0
1587340446348,328,Prod_Request counts,500,Internal Server Error,Prod Testing Environment 2-5,text,false,,368,489,3,3,https://hackforla-311.herokuapp.com/requestcounts,328,0,215
1587340446676,73,Prod_Healthcheck,404,Not Found,Prod Testing Environment 2-5,text,false,,253,138,3,3,https://hackforla-311.herokuapp.com/apistatus,73,0,0
1587340446749,120,Prod_Base Pins,500,Internal Server Error,Prod Testing Environment 2-5,text,false,,368,288,3,3,https://hackforla-311.herokuapp.com/pins,120,0,0
1587340446869,111,Prod_Time to close,500,Internal Server Error,Prod Testing Environment 2-5,text,false,,368,295,3,3,https://hackforla-311.herokuapp.com/timetoclose,111,0,0
1587340446980,122,Prod_Request frequency,500,Internal Server Error,Prod Testing Environment 2-5,text,false,,368,300,3,3,https://hackforla-311.herokuapp.com/requestfrequency,122,0,0
