NAME,state,county,tract,GEO_ID,Total population
"Census Tract 2089.02, Los Angeles County, California",6,37,208902,1400000US06037208902,2566
"Census Tract 2089.03, Los Angeles County, California",6,37,208903,1400000US06037208903,3878
"Census Tract 2089.04, Los Angeles County, California",6,37,208904,1400000US06037208904,4190
"Census Tract 2091.03, Los Angeles County, California",6,37,209103,1400000US06037209103,3595
"Census Tract 4043.01, Los Angeles County, California",6,37,404301,1400000US06037404301,5454
"Census Tract 4043.02, Los Angeles County, California",6,37,404302,1400000US06037404302,2221
"Census Tract 4044.01, Los Angeles County, California",6,37,404401,1400000US06037404401,3969
"Census Tract 4044.02, Los Angeles County, California",6,37,404402,1400000US06037404402,5115
"Census Tract 4045.01, Los Angeles County, California",6,37,404501,1400000US06037404501,2791
"Census Tract 4045.03, Los Angeles County, California",6,37,404503,1400000US06037404503,2763
"Census Tract 4045.04, Los Angeles County, California",6,37,404504,1400000US06037404504,4934
"Census Tract 4046, Los Angeles County, California",6,37,404600,1400000US06037404600,1365
"Census Tract 4047.01, Los Angeles County, California",6,37,404701,1400000US06037404701,5939
"Census Tract 4047.02, Los Angeles County, California",6,37,404702,1400000US06037404702,5424
"Census Tract 4047.03, Los Angeles County, California",6,37,404703,1400000US06037404703,3225
"Census Tract 4048.04, Los Angeles County, California",6,37,404804,1400000US06037404804,4704
"Census Tract 4048.05, Los Angeles County, California",6,37,404805,1400000US06037404805,3074
"Census Tract 4048.06, Los Angeles County, California",6,37,404806,1400000US06037404806,6337
"Census Tract 4049.01, Los Angeles County, California",6,37,404901,1400000US06037404901,6143
"Census Tract 4049.02, Los Angeles County, California",6,37,404902,1400000US06037404902,3933
"Census Tract 4049.03, Los Angeles County, California",6,37,404903,1400000US06037404903,2344
"Census Tract 4050.01, Los Angeles County, California",6,37,405001,1400000US06037405001,5849
"Census Tract 4050.02, Los Angeles County, California",6,37,405002,1400000US06037405002,3488
"Census Tract 4051.01, Los Angeles County, California",6,37,405101,1400000US06037405101,5843
"Census Tract 4051.02, Los Angeles County, California",6,37,405102,1400000US06037405102,5204
"Census Tract 4052.01, Los Angeles County, California",6,37,405201,1400000US06037405201,5146
"Census Tract 4052.02, Los Angeles County, California",6,37,405202,1400000US06037405202,4908
"Census Tract 4052.03, Los Angeles County, California",6,37,405203,1400000US06037405203,3098
"Census Tract 4053.01, Los Angeles County, California",6,37,405301,1400000US06037405301,3097
"Census Tract 4053.02, Los Angeles County, California",6,37,405302,1400000US06037405302,5522
"Census Tract 4054, Los Angeles County, California",6,37,405400,1400000US06037405400,4988
"Census Tract 4055, Los Angeles County, California",6,37,405500,1400000US06037405500,6475
"Census Tract 4056, Los Angeles County, California",6,37,405600,1400000US06037405600,5335
"Census Tract 4057.01, Los Angeles County, California",6,37,405701,1400000US06037405701,4080
"Census Tract 4057.02, Los Angeles County, California",6,37,405702,1400000US06037405702,4966
"Census Tract 4058, Los Angeles County, California",6,37,405800,1400000US06037405800,5840
"Census Tract 4059, Los Angeles County, California",6,37,405900,1400000US06037405900,3869
"Census Tract 4060, Los Angeles County, California",6,37,406000,1400000US06037406000,5565
"Census Tract 4061.01, Los Angeles County, California",6,37,406101,1400000US06037406101,2905
"Census Tract 4061.03, Los Angeles County, California",6,37,406103,1400000US06037406103,7912
"Census Tract 4062.01, Los Angeles County, California",6,37,406201,1400000US06037406201,3740
"Census Tract 4063, Los Angeles County, California",6,37,406300,1400000US06037406300,5964
"Census Tract 4064.13, Los Angeles County, California",6,37,406413,1400000US06037406413,6250
"Census Tract 4065, Los Angeles County, California",6,37,406500,1400000US06037406500,6512
"Census Tract 4066.01, Los Angeles County, California",6,37,406601,1400000US06037406601,5375
"Census Tract 4066.02, Los Angeles County, California",6,37,406602,1400000US06037406602,4887
"Census Tract 4067.01, Los Angeles County, California",6,37,406701,1400000US06037406701,3259
"Census Tract 5712.01, Los Angeles County, California",6,37,571201,1400000US06037571201,3884
"Census Tract 5712.02, Los Angeles County, California",6,37,571202,1400000US06037571202,4028
"Census Tract 5713, Los Angeles County, California",6,37,571300,1400000US06037571300,4258
"Census Tract 5714, Los Angeles County, California",6,37,571400,1400000US06037571400,4761
"Census Tract 5715.02, Los Angeles County, California",6,37,571502,1400000US06037571502,4779
"Census Tract 5715.04, Los Angeles County, California",6,37,571504,1400000US06037571504,4901
"Census Tract 5715.05, Los Angeles County, California",6,37,571505,1400000US06037571505,3034
"Census Tract 5716, Los Angeles County, California",6,37,571600,1400000US06037571600,2314
"Census Tract 5717.01, Los Angeles County, California",6,37,571701,1400000US06037571701,6647
"Census Tract 5717.03, Los Angeles County, California",6,37,571703,1400000US06037571703,3367
"Census Tract 5717.04, Los Angeles County, California",6,37,571704,1400000US06037571704,4026
"Census Tract 5718, Los Angeles County, California",6,37,571800,1400000US06037571800,3176
"Census Tract 5719, Los Angeles County, California",6,37,571900,1400000US06037571900,5403
"Census Tract 5720.01, Los Angeles County, California",6,37,572001,1400000US06037572001,6201
"Census Tract 5722.01, Los Angeles County, California",6,37,572201,1400000US06037572201,6038
"Census Tract 5722.02, Los Angeles County, California",6,37,572202,1400000US06037572202,3297
"Census Tract 5723.01, Los Angeles County, California",6,37,572301,1400000US06037572301,3764
"Census Tract 5725, Los Angeles County, California",6,37,572500,1400000US06037572500,3973
"Census Tract 5726, Los Angeles County, California",6,37,572600,1400000US06037572600,5058
"Census Tract 5727, Los Angeles County, California",6,37,572700,1400000US06037572700,4850
"Census Tract 5730.02, Los Angeles County, California",6,37,573002,1400000US06037573002,3721
"Census Tract 5730.03, Los Angeles County, California",6,37,573003,1400000US06037573003,1788
"Census Tract 5730.04, Los Angeles County, California",6,37,573004,1400000US06037573004,4866
"Census Tract 5731.01, Los Angeles County, California",6,37,573101,1400000US06037573101,4741
"Census Tract 5731.02, Los Angeles County, California",6,37,573102,1400000US06037573102,2785
"Census Tract 5732.01, Los Angeles County, California",6,37,573201,1400000US06037573201,4339
"Census Tract 5732.02, Los Angeles County, California",6,37,573202,1400000US06037573202,6348
"Census Tract 5733, Los Angeles County, California",6,37,573300,1400000US06037573300,4112
"Census Tract 5734.01, Los Angeles County, California",6,37,573401,1400000US06037573401,1458
"Census Tract 5734.02, Los Angeles County, California",6,37,573402,1400000US06037573402,6778
"Census Tract 5734.03, Los Angeles County, California",6,37,573403,1400000US06037573403,3194
"Census Tract 5736.01, Los Angeles County, California",6,37,573601,1400000US06037573601,6522
"Census Tract 5737, Los Angeles County, California",6,37,573700,1400000US06037573700,5091
"Census Tract 5738, Los Angeles County, California",6,37,573800,1400000US06037573800,4335
"Census Tract 5739.02, Los Angeles County, California",6,37,573902,1400000US06037573902,1981
"Census Tract 5740, Los Angeles County, California",6,37,574000,1400000US06037574000,5086
"Census Tract 5741, Los Angeles County, California",6,37,574100,1400000US06037574100,5058
"Census Tract 5742.01, Los Angeles County, California",6,37,574201,1400000US06037574201,3001
"Census Tract 5742.02, Los Angeles County, California",6,37,574202,1400000US06037574202,2400
"Census Tract 5743, Los Angeles County, California",6,37,574300,1400000US06037574300,5942
"Census Tract 5744, Los Angeles County, California",6,37,574400,1400000US06037574400,5509
"Census Tract 5745, Los Angeles County, California",6,37,574500,1400000US06037574500,6625
"Census Tract 5746.02, Los Angeles County, California",6,37,574602,1400000US06037574602,1273
"Census Tract 5748, Los Angeles County, California",6,37,574800,1400000US06037574800,3069
"Census Tract 2091.04, Los Angeles County, California",6,37,209104,1400000US06037209104,2442
"Census Tract 2091.05, Los Angeles County, California",6,37,209105,1400000US06037209105,3829
"Census Tract 2091.06, Los Angeles County, California",6,37,209106,1400000US06037209106,2277
"Census Tract 2092.01, Los Angeles County, California",6,37,209201,1400000US06037209201,3021
"Census Tract 2092.02, Los Angeles County, California",6,37,209202,1400000US06037209202,1604
"Census Tract 2093, Los Angeles County, California",6,37,209300,1400000US06037209300,5090
"Census Tract 2094.01, Los Angeles County, California",6,37,209401,1400000US06037209401,4018
"Census Tract 2094.02, Los Angeles County, California",6,37,209402,1400000US06037209402,4132
"Census Tract 2094.03, Los Angeles County, California",6,37,209403,1400000US06037209403,4678
"Census Tract 2095.10, Los Angeles County, California",6,37,209510,1400000US06037209510,3054
"Census Tract 2095.20, Los Angeles County, California",6,37,209520,1400000US06037209520,2874
"Census Tract 2098.10, Los Angeles County, California",6,37,209810,1400000US06037209810,2640
"Census Tract 2098.20, Los Angeles County, California",6,37,209820,1400000US06037209820,2833
"Census Tract 2100.10, Los Angeles County, California",6,37,210010,1400000US06037210010,3345
"Census Tract 2110, Los Angeles County, California",6,37,211000,1400000US06037211000,5073
