request_id,srnumber,created_date,closed_date,type_id,agency_id,source_id,council_id,region_id,address,latitude,longitude,city_id
4460,1-1524253551,2020-01-02 12:39:00,2020-01-02 12:40:00,1,4,18,79,1,"GLENOAKS BLVD AT FOOTHILL BLVD, 91342",34.32299776,-118.4695337,7
4461,1-1524253591,2020-01-02 12:39:00,2020-01-04 07:39:00,4,2,8,96,6,"841 S BERENDO ST, 90005",34.05652299,-118.2943234,10
4462,1-1524253621,2020-01-02 12:39:00,2020-01-09 11:37:00,6,2,8,85,9,"457 W 46TH ST, 90037",34.00205016,-118.2817595,9
4463,1-1524253801,2020-01-02 12:40:00,2020-01-04 11:06:00,1,4,17,56,4,"7024 N VAN NOORD AVE, 91605",34.19819171,-118.4148443,2
4464,1-1524253991,2020-01-02 12:40:00,2020-01-06 09:19:00,4,2,8,87,10,"3014 S WELLINGTON ROAD, 90016",34.02705628,-118.3383104,10
4465,1-1524254161,2020-01-02 12:41:00,2020-01-03 09:09:00,6,2,8,74,9,"3101 S HILL ST, 90007",34.02180249,-118.2737241,9
4466,1-1524254221,2020-01-02 12:38:00,2020-01-02 20:56:00,11,5,17,0,0,"12324 W MONTANA AVE, 90049",34.04758177,-118.4759807,11
4467,1-1524254416,2020-01-02 12:39:00,2020-01-15 19:28:00,1,4,7,50,5,"751 N FAIRFAX AVE, 90036",34.08524969,-118.3618126,5
4468,1-1524254433,2020-01-02 12:39:00,2020-01-03 14:18:00,3,2,7,71,3,"6434 N CORBIN AVE, 91335",34.18764893,-118.562016,3
4469,1-1524254591,2020-01-02 12:40:00,2020-01-08 08:26:00,4,2,7,94,11,"1508 S PANDORA AVE, 90024",34.05999614,-118.4260907,5
4470,1-1524255101,2020-01-02 12:41:00,2020-01-03 06:48:00,4,2,8,46,7,"BERENDO ST AT HOLLYWOOD BLVD, 90027",34.10176251,-118.2945494,13
4471,1-1524255261,2020-01-02 12:40:00,2020-01-04 15:10:00,4,2,8,79,1,"13526 W LAZARD ST, 91340",34.30385413,-118.4277447,7
4472,1-1524255541,2020-01-02 12:42:00,2020-01-02 12:46:00,1,4,18,79,1,"ENCINITAS AVE AT ROXFORD ST, 91342",34.30382111,-118.4788737,7
4473,1-1524255651,2020-01-02 12:42:00,2020-01-06 12:34:00,7,2,8,78,1,"7100 W ESTEPA DR, 91042",34.24231746,-118.2863321,7
4474,1-1524255921,2020-01-02 12:43:00,2020-01-03 12:00:00,4,2,8,50,5,"912 S OGDEN DR, 90036",34.05928596,-118.3610095,4
4475,1-1524256001,2020-01-02 12:43:00,2020-01-02 12:46:00,1,4,18,79,1,"GLENOAKS BLVD AT TYLER ST, 91342",34.3102786,-118.4532532,7
4476,1-1524257241,2020-01-02 12:40:00,2020-01-06 07:03:00,7,2,8,2,8,"3813 N LATROBE ST, 90031",34.09056549,-118.1974222,1
4477,1-1524257311,2020-01-02 12:41:00,2020-01-02 12:46:00,1,4,18,79,1,"ENCINITAS AVE AT ROXFORD ST, 91342",34.30382111,-118.4788737,7
4478,1-1524257363,2020-01-02 12:42:00,2020-01-07 12:57:00,4,2,7,39,8,"355 N KIRBY ST, 90042",34.1217162,-118.1830207,14
4479,1-1524257501,2020-01-02 12:42:00,2020-01-08 11:23:00,6,2,8,15,6,"920 S CROCKER ST, 90021",34.03567951,-118.2496181,14
4480,1-1524257551,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,17,5,"4350 W NORMAL AVE, 90029",34.08654047,-118.2909953,13
4481,1-1524257556,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,17,5,"4350 W NORMAL AVE, 90029",34.08654047,-118.2909953,13
4482,1-1524257561,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,17,5,"4350 W NORMAL AVE, 90029",34.08654047,-118.2909953,13
4483,1-1524257567,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,17,5,"4350 W NORMAL AVE, 90029",34.08654047,-118.2909953,13
